DriveStart,PlayNum,SideOfField,YardLine,PenaltyType,QBLoc,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,PA?,RecAlignment,Route,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
,3,JCU,34,,Pistol,Pass Attempt,R,11,7,5,,,,5.81,7.12,,,1,,Catch,OnTarg,-3,34,No,Mtn Right Back,Swing,4,1.31,0,
,4,JCU,36,,Pistol,QB Scramble,,11,7,5,,,,,,,,4,,,,,,,,,No Catch,0,0,
,5,JCU,38,,Pistol,Run,L,21,8,5,34,-3.5,,,,5.78,6.74,-3.5,,,,,,,,,No Catch,0,0.96,
Last set of 20,1,JCU,30,,Pistol,Run,R,11,6,5,34,1,,,,7.13,8.99,2,,,,,,,,,No Catch,0,1.86,
,2,JCU,30,,Pistol,Run,L,11,6,5,5,1,,,,15.93,18.48,2,,,,,,,,,No Catch,0,2.55,
,3,JCU,30,,Pistol,Run,R,11,7,5,34,1.5,,,,9.48,10.81,6,,,,,,,,,No Catch,0,1.33,
,4,JCU,30,,Pistol,Run,M,20,7,5,34,3.5,,,,,5.87,4,,,,,,,,,No Catch,0,5.87,
,5,JCU,30,,Pistol,Sack,,11,7,5,,,,9.7,12.39,,,-6,,,,,,PA,,,No Catch,2.69,0,
,6,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,17.3,19.67,,,20,,Catch,OnTarg,17,84,PA,Wing Left,Corner,3,2.37,0,
X,13,JCU,30,,Pistol,Run,M,12,7,5,34,1.5,,,,9.63,10.81,2,,,,,,,,,No Catch,0,1.18,
,14,JCU,30,,Pistol,Run,M,12,7,5,34,4,,,,9.33,10.98,5,,,,,,,,,No Catch,0,1.65,
,15,JCU,30,,Pistol,Run,M,11,6,5,34,-2,,,,16.15,16.83,-2,,,,,,,,,No Catch,0,0.68,
,16,JCU,30,,Pistol,Sack,,11,7,5,,,,8.44,10.29,,,-8,,,,,,PA,,,No Catch,1.85,0,
,17,JCU,30,,Pistol,Run,R,11,7,5,34,-1,,,,7.39,9.14,0,,,,,,,,,No Catch,0,1.75,
,18,JCU,30,,Pistol,Run,R,11,6,5,34,0.5,,,,6.22,7.6,3,,,,,,,,,No Catch,0,1.38,
First Full 24 ,1,JCU,30,,Pistol,Run,M,12,7,5,34,1,,,,7.49,8.64,2,,,,,,,,,No Catch,0,1.15,
501-600,2,JCU,30,,Pistol,Pass Attempt,R,11,5,5,,,,6.93,9.51,,,20,,Catch,OnTarg,16,14,No,Wide Right,Corner,4,2.58,0,
,3,JCU,40,,Pistol,Pass Attempt,M,11,6,5,,,,14.68,17.19,,,0,,Drop,OnTarg,-4,34,No,Singleback,Screen,No Catch,2.51,0,
,4,NEU,50,,Pistol,Sack,,11,8,5,,,,5.48,7.84,,,-7,,,,,,,,,No Catch,2.36,0,
,5,OPP,40,,Pistol,Run,M,11,8,5,34,-4,,,,12.91,13.11,-4,,,,,,,,,No Catch,0,0.2,
,6,OPP,30,,Pistol,Pass Attempt,R,11,7,5,,,,5.01,6.35,,,0,,Incomplete,Errant,8,14,No,Wide Right,Fade,No Catch,1.34,0,
,13,JCU,20,,Pistol,Sack,,11,8,5,,,,6.64,8.28,,,-7,,,,,,PA,,,No Catch,1.64,0,
,14,JCU,30,,Pistol,Run,M,11,6,5,34,5,,,,10.92,13.27,7,,,,,,,,,No Catch,0,2.35,
,15,JCU,40,,Pistol,Pass Attempt,L,11,6,5,,,,8.24,10.26,,,0,,Incomplete,Errant,5,82,No,Backfield Wing Left,Out,No Catch,2.02,0,
,16,NEU,50,,Pistol,Pass Attempt,M,11,7,5,,,,5.96,8.73,,,12,,Catch,OnTarg,5,6,No,Wide Left,Drag,7,2.77,0,
First full 18,1,JCU,30,,Pistol,Pass Attempt,M,11,6,5,,,,4.67,6.05,,,0,,Drop,OnTarg,5,82,No,Tight Slot,Out,No Catch,1.38,0,
